tweet_id,created_at,url,text,is_quote_tweet,quoted_tweet_id,quoted_author_username,quoted_text
1,2025-07-15,https://x.com/batra99/status/1945016907695878520,"Bose ANC is so good. I don't even use music in the office, just the ANC is more than enough to cut all the noise. https://t.co/Eggicn0Et9",false,,,
2,2025-07-28,https://x.com/batra99/status/1939013863783178756?s=20,"Technically, sweat is the best skin care.",,,,
3,15-08-2025,https://x.com/batra99/status/1939015159214977526?s=20,"Real Change vs Illusion of Change Most changes 'clearly' visible in short term are just 'Illusions of change"". Real changes take so much time that even the people driving it dont notice in day-to-day until it compounds over long time - sometimes even months, years.",,,,
4,22-08-2025,https://x.com/batra99/status/1942273982939500674?s=20,"More important than being happy is being easygoing, i.e. being okay with whatever happens. This doesn’t preclude trying to change bad circumstances, but it does free you from that extra suffering that comes from knowing you’re suffering.",,,,
5,28-08-2025,https://x.com/batra99/status/1957107362516402301?s=20,"Net productivity, p=p0 - delta(p) - p0 is the ultimate productivity - delta(p) is the cumulation of various human factors which hampers the net result all these AI-tools, productivity tools focus on that p0 part, but that delta(p) is where magic happens! ",,,,
6,29-08-2025,https://x.com/batra99/status/1957108652252311823?s=20,"that 'delta(p)' is what we should focus on. In my humble opinion, there is just one way: Minimize Unforced Error. This is also the trait in most pioneers in their craft around us - world champions, 10x engineers, best leaders. #fuckdeltap",,,,
7,05-09-2025,https://x.com/batra99/status/1958342408149540979?s=20,"files over app. Always. Your notes app should let you bulk export, and bulk import from standard formats like markdown, txt etc. Used logseq for good 3 years but app had became buggy. Till i found a better alternative, Obsidian all the way.",,,,
8,09-09-2025,https://x.com/batra99/status/1965825368822264031?s=20,"i mean... shouldn't the most unpatriotic thing actually be ""blindly trusting the government"" - without questioning anything they do?",,,,
9,15-09-2025,https://x.com/batra99/status/1972012392596099288?s=20,"Hot take: Ferrari is basically a merch company that also makes super cool cars & hires F1 legends just for the aesthetic/promo. Their car sales scale can't possibly be as profitable as those sweet merch collabs. Brand Empire, Not a car Empire.",,,,
10,25-09-2025,https://x.com/batra99/status/1975227856201625817?s=20,"“You only lose what you cling to.” – Buddha → Extending on this based on my recent readings ... imo life is just a brutal 'pick 2 out of 3' situation, and the options are always 1. Freedom 2. Attachment 3. Acceptance. ...and the correct answer changes multiple times a day based on who/what you're dealing with.",,,,
11,29-09-2025,https://x.com/batra99/status/1976000018583580908?s=20,Therapy? I don’t need therapy. I just need cars with more cylinders than seats.,,,,
12,01-10-2025,https://x.com/kunalb11/status/1977723585704640662?s=20,Highly reliable people are rarely interesting. Very interesting people are rarely reliable.,,,,
13,05-10-2025,https://x.com/batra99/status/1978147097271566697?s=20,Everyone’s just out here looking for that one familiar face to suffer along with. ...also known as 'connection' or 'spark' these day.,,,,
14,12-10-2025,https://x.com/batra99/status/1979783460459037047?s=20,"Top 3 types of ""songs"": 1. The ones you never ever want to finish. 2. The one you're still humming all day. 3. The ones where you just remember the tune and it makes you smile. (No, I am not talking about songs here)",,,,
15,20-10-2025,https://x.com/batra99/status/1980248553147732401?s=20,"Diwali homecomings = “ghar ki raunak” = moms. Take them out and it’s just dusty homes, same old t-shirts, dal chawal and people pretending fairy lights count as efforts. In India, Moms are the festival ",,,,
16,28-10-2025,https://x.com/batra99/status/1986849916438864151?s=20,Is it even leg day if your quads aren't visibly bumping through your trousers?,,,,
17,03-11-2025,https://x.com/batra99/status/1989169581278261365?s=20,"""zen but chaotic""",,,,
18,25-11-2025,https://x.com/batra99/status/1997718092206764266?s=20,god make me as resilient fighter as max verstappen was in the second half of this season.,,,,
19,12-12-2025,https://x.com/batra99/status/1998401762630488414?s=20,"if you ever find me posting someone with ""You're you tho"" by karan aujla, CONSIDER YOUR BOY TAKEN.",,,,
20,18-12-2025,https://x.com/batra99/status/2001344522773758174?s=20,Embarrassment is cheap. Regret is expensive.,,,,
21,24-12-2025,https://x.com/batra99/status/2017193007431487732?s=20,"ek to raahoon mein babul bahut hain, uske upar se apanae usul bahut hain, uske upar se saba tokate rahete hain, ki Rahgir bhaaee, udhar jaao, udhar phool bahut hain",,,,
22,12-01-2026,https://x.com/batra99/status/2018639105975038271?s=20,"""It is the time you have wasted for your rose that makes your rose so important"" - the little prince",,,,
23,18-01-2026,https://x.com/batra99/status/2019003248649359573?s=20,"""the secret of good old age is simply an honorable pact with solitude."" - gabriel marquez",,,,
24,21-01-2025,https://x.com/batra99/status/2019359093287477485?s=20,"All that is gold does not glitter, Not all those who wander are lost -tolkien",,,,
25,29-01-2026,https://x.com/batra99/status/2020170187379511349?s=20,"people think a lot more than they talk, and feel a lot more than they admit.",,,,
26,06-02-2026,https://x.com/Lovandfear/status/2020426651025527000?s=20,"We all felt it when Dostoevsky said: From the outside, you seem mature, with a philosopher's mind, but inside, you're just a child lost in sweet delusion.",,,,
27,11-02-2026,https://x.com/batra99/status/2022303997613457742?s=20,Humour is how you bleed without anyone seeing the wound.,,,,
28,15-02-2026,https://x.com/batra99/status/2025236619180339267?s=20,"""All sins are attempts to fill voids""",,,,
29,16-02-2026,https://x.com/batra99/status/2025241685027160182?s=20,"Maybe the void isn't meant to be filled. Maybe it's just depth. Maybe it's space meant for oceans, not puddles. Maybe nothing was ever missing. Maybe I was just too vast to be contained by small comforts.",,,,
